time,Q,s,T
2008-07-29,-3.228121,0.0,0.0
2008-07-30,-3.228121,0.0,0.0
2008-07-31,-3.199804,0.0,0.0
2008-08-01,-3.398022,0.0,0.0
2008-08-02,-3.256437,0.0,0.0
2008-08-03,-3.426338,0.0,0.0
2008-08-04,-3.341388,0.0,0.0
2008-08-05,-3.199804,0.0,0.0
2008-08-06,-3.284754,0.0,0.0
2008-08-07,-3.284754,0.0,0.0
2008-08-08,-3.284754,0.0,0.0
2008-08-09,-3.114853,0.0,0.0
2008-08-10,-3.029903,0.0,0.0
2008-08-11,-3.228121,0.0,0.0
2008-08-12,-3.341388,0.0,0.0
2008-08-13,-3.284754,0.0,0.0
2008-08-14,-3.398022,0.0,0.0
2008-08-15,-3.341388,0.0,0.0
2008-08-16,-2.973269,0.0,0.0
2008-08-17,-3.398022,0.0,0.0
2008-08-18,-3.369705,0.0,0.0
2008-08-19,-3.228121,0.0,0.0
2008-08-20,-2.944952,0.0,0.0
2008-08-21,-3.114853,0.0,0.0
2008-08-22,-3.313071,0.0,0.0
2008-08-23,-3.256437,0.0,0.0
2008-08-24,-3.114853,0.0,0.0
2008-08-25,-3.14317,0.0,0.0
2008-08-26,-3.256437,0.0,0.0
2008-08-27,-3.114853,0.0,0.0
2008-08-28,-3.114853,0.0,0.0
2008-08-29,-3.114853,0.0,0.0
2008-08-30,-3.284754,0.0,0.0
2008-08-31,-3.398022,0.0,0.0
2008-09-01,-3.256437,0.0,0.0
2008-09-02,-3.284754,0.0,0.0
2008-09-03,-3.199804,0.0,0.0
2008-09-04,-3.171487,0.0,0.0
2008-09-05,-3.369705,0.0,0.0
2008-09-06,-3.482972,0.0,0.0
2008-09-07,-3.454655,0.0,0.0
2008-09-08,-3.284754,0.0,0.0
2008-09-09,-3.284754,0.0,0.0
2008-09-10,-3.256437,0.0,0.0
2008-09-11,-3.228121,0.0,0.0
2008-09-12,-3.058219,0.0,0.0
2008-09-13,-2.888318,0.0,0.0
2008-09-14,-2.944952,0.0,0.0
2008-09-15,-2.973269,0.0,0.0
2008-09-16,-3.086536,0.0,0.0
2008-09-17,-2.661784,0.0,0.0
2008-09-18,-1.812278,0.0,0.0
2008-09-19,-2.208714,0.0,0.0
2008-09-20,-2.860002,0.0,0.0
2008-09-21,-3.029903,0.0,0.0
2008-09-22,-2.860002,0.0,0.0
2008-09-23,-3.001586,0.0,0.0
2008-09-24,-3.058219,0.0,0.0
2008-09-25,-2.944952,0.0,0.0
2008-09-26,-2.916635,0.0,0.0
2008-09-27,-3.001586,0.0,0.0
2008-09-28,-3.001586,0.0,0.0
2008-09-29,-3.029903,0.0,0.0
2008-09-30,-3.029903,0.0,0.0
2008-10-01,-3.256437,0.0,0.0
2008-10-02,-3.029903,0.0,0.0
2008-10-03,-2.860002,0.0,0.0
2008-10-04,-3.086536,0.0,0.0
2008-10-05,-2.60515,0.0,0.0
2008-10-06,-2.548516,0.0,0.0
2008-10-07,-2.463566,0.0,0.0
2008-10-08,-2.463566,0.0,0.0
2008-10-09,-2.406932,0.0,0.0
2008-10-10,-2.775051,0.0,0.0
2008-10-11,-2.831685,0.0,0.0
2008-10-12,-2.803368,0.0,0.0
2008-10-13,-2.775051,0.0,0.0
2008-10-14,-2.406932,0.0,0.0
2008-10-15,-0.7928717,0.0,0.0
2008-10-16,-1.274258,0.0,0.0
2008-10-17,-2.463566,0.0,0.0
2008-10-18,-3.029903,0.0,0.0
2008-10-19,-3.001586,0.0,0.0
2008-10-20,-2.463566,0.0,0.0
2008-10-21,-2.803368,0.0,0.0
2008-10-22,-2.888318,0.0,0.0
2008-10-23,-2.944952,0.0,0.0
2008-10-24,-2.888318,0.0,0.0
2008-10-25,-3.001586,0.0,0.0
2008-10-26,-2.60515,0.0,0.0
2008-10-27,-2.576833,0.0,0.0
